Paddle Name,Brand,Price,Discount Code,Link to Paddle,Year Released,Approval Body,Shape,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Firepower Percentile,Firepower Z,Firepower Z Tier
Rush 13mm,Thrive,$179.99,PBEFFECT,https://a8qh.short.gy/Rush,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,Power,13,5.50,4.13,7.90,119,78%,6.10,30%,244,High,1931,55.7,43%,35.6,27%,35%,50.0,Firepower Balanced
Smoke,Thrive,$219.99,PBEFFECT,https://a8qh.short.gy/smoke,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 1,Power,15,5.50,4.25,7.96,119,78%,6.14,33%,242,Very High,2003,56.4,74%,36.2,51%,62%,64.0,Firepower Balanced
Surge 16,Thrive,$199.99,PBEFFECT,https://a8qh.short.gy/Surge,2024,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.25,4.25,8.03,117,64%,6.80,79%,243,High,1937,55.3,33%,35.6,27%,30%,45.0,Firepower Control+
Threat 16mm,Thrive,$179.99,PBEFFECT,https://a8qh.short.gy/Threat,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,8.00,122,89%,6.74,76%,245,Medium,1918,54.4,17%,34.6,6%,11%,25.0,Firepower Soft
Flash 14 mm,Vatic Pro,$139.99,PBEFFECT,https://a8qh.short.gy/VPFlash,2023,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.30,4.13,7.94,110,18%,6.15,35%,235,,,53.9,11%,34.4,4%,8%,17.0,Firepower Soft
Flash 16 mm,Vatic Pro,$139.99,PBEFFECT,https://a8qh.short.gy/VPFlash,2023,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.30,4.13,8.25,115,49%,6.70,74%,237,High,1935,,,,,,,
Prism Bloom 14mm,Vatic Pro,$99.99,PBEFFECT,https://a8qh.short.gy/PB14,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 1.5,Control,14,5.60,4.13,7.70,107,6%,6.05,28%,238,,,,,,,,,
Prism Bloom 16mm,Vatic Pro,$99.99,PBEFFECT,https://a8qh.short.gy/PB16,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 1.5,Control,16,5.60,4.13,7.92,112,28%,7.07,89%,238,,,,,,,,,
Prism Flash 14 mm,Vatic Pro,$99.99,PBEFFECT,https://a8qh.short.gy/PF14,2023,USAP,Hybrid,Raw Texture/Peel Ply,Gen 1.5,All-Court,14,5.30,4.13,7.80,111,23%,6.11,31%,241,High,1950,53.0,5%,35.0,12%,9%,10.0,Firepower Soft
Prism Flash 16 mm,Vatic Pro,$99.99,PBEFFECT,https://a8qh.short.gy/VPFP16,2023,USAP,Hybrid,Raw Texture/Peel Ply,Gen 1.5,Control,16,5.30,4.13,7.91,114,43%,6.40,53%,237,High,1942,51.8,1%,33.7,1%,1%,0.0,Firepower Soft
